degree,uni,loc,start_date,end_date,details
Especialização em Data Science e Big Data,Universidade Federal do Paraná, Curitiba/PR,,2020,,
Análise e Desenvolvimento de Sistemas,Universidade Paulista, Santos/SP,,2016,,

